ts,mid,top_usd,top_bps,s0.1_usd,s0.1_bps,s1_usd,s1_bps,s5_usd,s5_bps,s10_usd,s10_bps
2025-08-23T14:33:00.774899Z,115043.575,0.01,0.0008692358525888994670063060888,10.457740459,0.9090242944032293850395382793,18.4338126257,1.602333083416435902656884576,31.98413059192,2.780175302438228297408177727,50.02282380566,4.348163189961716679962353395
2025-08-23T14:33:00.844381Z,115043.575,0.01,0.0008692358525888994670063060888,9.320805426,0.8101978251284350299440885769,18.2124869762,1.583094664452143459554347125,31.89579735626,2.772497060897142669636266084,49.95779096191,4.342510302023385486760125457
2025-08-23T14:33:00.855440Z,115043.575,0.01,0.0008692358525888994670063060888,9.320805426,0.8101978251284350299440885769,18.2124869762,1.583094664452143459554347125,31.89579735626,2.772497060897142669636266084,49.95779096191,4.342510302023385486760125457
2025-08-23T14:33:00.955662Z,115043.575,0.01,0.0008692358525888994670063060888,9.320805426,0.8101978251284350299440885769,18.2134092314,1.583174830180651114153919504,31.89598178832,2.772513092393034552342449372,49.95788314666,4.342518315052361681215139568
2025-08-23T14:33:00.998670Z,115043.575,0.01,0.0008692358525888994670063060888,8.720387818,0.7580073739885082674108484546,18.0386036244,1.567980100096854604874718123,31.82214220590,2.766094691155068851085338751,49.90253377733,4.337707149428379637889382349
2025-08-23T14:33:01.069772Z,115043.575,0.01,0.0008692358525888994670063060888,9.664029828,0.8400321206986135470842243906,18.2922084759,1.590024343028282978862574464,31.95191600610,2.777375095141123700302255037,49.84164227602,4.332414241822718044010715070
2025-08-23T14:33:01.113618Z,115043.575,0.01,0.0008692358525888994670063060888,8.749352097,0.7605250529636270430573806490,18.0859535020,1.572095921219416208162863506,31.94913638158,2.777133480212171779258424471,49.80665388560,4.329372925484973845779740416
2025-08-23T14:33:01.179907Z,115043.575,0.01,0.0008692358525888994670063060888,8.932414592,0.7764375013554646576308151064,18.0801536223,1.571591774881821953116460437,32.36048160956,2.812889082207328831705725418,51.26368049356,4.456022902066456123255905425
2025-08-23T14:33:01.220634Z,115043.575,0.01,0.0008692358525888994670063060888,10.288631528,0.8943247398214111479063476600,18.4189358361,1.601039939527261735390264080,32.52817030940,2.827465185204823476669601062,50.12679881168,4.357201070262289745429068942
2025-08-23T14:33:01.289379Z,115043.575,0.01,0.0008692358525888994670063060888,7.706546908,0.6698806872091726982580296205,18.4255965916,1.601618916275854605526645013,32.71689661494,2.843869952315024980751858589,50.57459139121,4.396124806727363957526528535
2025-08-23T14:33:01.334519Z,115043.575,0.01,0.0008692358525888994670063060888,7.662428328,0.6660457420590415414333221129,18.4246890803,1.601540032139995649474557793,32.63415479704,2.836677736852318784425814306,51.66595830022,4.490990331291425879280959410
2025-08-23T14:33:01.399819Z,115043.575,0.01,0.0008692358525888994670063060888,8.418092320,0.7317307654947266720457878678,18.6185291298,1.618389304209296347058060391,32.72880337796,2.844904930845551348695483429,52.11911738548,4.530380543674864067810827332
2025-08-23T14:33:01.446217Z,115043.575,0.01,0.0008692358525888994670063060888,9.233104486,0.8025745449930602382618933739,18.7337683588,1.628406311156446589911692157,32.74373088486,2.846202483264276166661197724,51.81753299643,4.504165747320526157153930587
2025-08-23T14:33:01.509413Z,115043.575,0.01,0.0008692358525888994670063060888,7.534698873,0.6549430398872774946362715171,18.2202148053,1.583766395063783440318157707,32.56476928276,2.830646499186069278532069262,51.98517143421,4.518737481359563104675771767
