ts,mid,position,exposure,realized,unrealized,total,mode
2025-08-23T11:28:54.152716+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:54.412947+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:54.671258+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:54.930827+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:55.192431+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:55.449817+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:55.708448+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:55.971569+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:56.228534+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:56.493233+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:56.759042+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:57.022607+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:57.289291+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:57.548231+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:57.811515+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:58.075822+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:58.352189+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:58.614612+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:58.879482+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:59.145364+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:59.411376+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:59.675232+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:59.940174+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:00.209365+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:00.473797+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:00.734795+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:01.002593+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:01.266474+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:01.531417+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:01.799218+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:02.064056+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:02.325239+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:02.582220+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:02.850594+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:03.115026+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:03.379649+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:03.649660+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:03.914368+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:04.179223+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:04.450088+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:04.706029+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:04.961990+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:05.218893+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:05.482367+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:05.749082+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:06.013661+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:29:06.275940+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:06.532661+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:06.802651+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:07.066563+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:07.331967+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:07.588715+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:07.856309+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:08.117590+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:08.380884+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:08.645663+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:08.906817+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:09.169739+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:09.434902+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:09.702591+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:09.967388+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:10.232572+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:10.498052+00:00,115475.735,0,0.000,0,0,0,normal
2025-08-23T11:29:10.765421+00:00,115475.735,0,0.000,0,0,0,normal
